County,Date,New Cases,New Positive Tests,Total Test Encounters
Hawaii,2020-04-08,0,0,25
Honolulu,2020-04-08,7,6,410
Kauai,2020-04-08,0,0,10
Maui,2020-04-08,6,3,48
Missing,2020-04-08,0,0,56
Hawaii,2020-04-09,2,1,152
Honolulu,2020-04-09,5,4,417
Kauai,2020-04-09,0,0,23
Maui,2020-04-09,5,5,84
Missing,2020-04-09,0,0,41
Hawaii,2020-04-10,3,3,198
Honolulu,2020-04-10,5,5,469
Kauai,2020-04-10,0,0,37
Maui,2020-04-10,10,9,210
Missing,2020-04-10,0,0,105
Hawaii,2020-04-11,3,3,117
Honolulu,2020-04-11,3,3,388
Kauai,2020-04-11,2,2,34
Maui,2020-04-11,3,3,278
Missing,2020-04-11,0,0,50
Hawaii,2020-04-12,2,2,66
Honolulu,2020-04-12,1,1,292
Kauai,2020-04-12,0,0,19
Maui,2020-04-12,2,2,304
Missing,2020-04-12,0,0,18
Hawaii,2020-04-13,1,1,16
Honolulu,2020-04-13,1,1,191
Kauai,2020-04-13,0,0,17
Maui,2020-04-13,2,1,164
Missing,2020-04-13,0,0,19
Hawaii,2020-04-14,0,0,32
Honolulu,2020-04-14,8,8,213
Kauai,2020-04-14,0,0,21
Maui,2020-04-14,2,1,564
Missing,2020-04-14,0,0,61
Hawaii,2020-04-15,0,0,32
Honolulu,2020-04-15,5,6,577
Kauai,2020-04-15,0,0,19
Maui,2020-04-15,4,4,557
Missing,2020-04-15,0,0,106
Hawaii,2020-04-16,3,3,67
Honolulu,2020-04-16,5,5,314
Kauai,2020-04-16,0,0,9
Maui,2020-04-16,1,1,298
Missing,2020-04-16,0,0,28
Hawaii,2020-04-17,16,16,309
Honolulu,2020-04-17,2,1,307
Kauai,2020-04-17,0,0,21
Maui,2020-04-17,3,3,222
Missing,2020-04-17,0,0,79
Hawaii,2020-04-18,2,2,91
Honolulu,2020-04-18,3,2,345
Kauai,2020-04-18,0,0,28
Maui,2020-04-18,3,3,378
Missing,2020-04-18,0,0,71
Hawaii,2020-04-19,2,2,90
Honolulu,2020-04-19,0,0,265
Kauai,2020-04-19,0,0,26
Maui,2020-04-19,3,2,222
Missing,2020-04-19,0,0,44
Hawaii,2020-04-20,2,0,47
Honolulu,2020-04-20,0,0,349
Kauai,2020-04-20,0,0,9
Maui,2020-04-20,2,2,91
Missing,2020-04-20,0,0,44
Hawaii,2020-04-21,3,3,125
Honolulu,2020-04-21,4,5,321
Kauai,2020-04-21,0,0,17
Maui,2020-04-21,1,1,294
Missing,2020-04-21,0,0,40
Hawaii,2020-04-22,1,0,73
Honolulu,2020-04-22,3,3,369
Kauai,2020-04-22,0,0,19
Maui,2020-04-22,2,2,294
Missing,2020-04-22,0,0,76
Hawaii,2020-04-23,1,2,211
Honolulu,2020-04-23,1,1,306
Kauai,2020-04-23,0,0,23
Maui,2020-04-23,2,1,113
Missing,2020-04-23,0,0,56
Hawaii,2020-04-24,0,0,146
Honolulu,2020-04-24,3,2,303
Kauai,2020-04-24,0,0,13
Maui,2020-04-24,1,0,112
Missing,2020-04-24,0,0,37
Hawaii,2020-04-25,1,1,69
Honolulu,2020-04-25,3,2,343
Kauai,2020-04-25,0,0,21
Maui,2020-04-25,0,0,102
Missing,2020-04-25,0,0,39
Hawaii,2020-04-26,0,0,16
Honolulu,2020-04-26,0,0,175
Kauai,2020-04-26,0,0,18
Maui,2020-04-26,1,1,25
Missing,2020-04-26,0,0,14
Hawaii,2020-04-27,0,0,24
Honolulu,2020-04-27,4,3,232
Kauai,2020-04-27,0,0,4
Maui,2020-04-27,1,1,34
Missing,2020-04-27,0,0,11
Hawaii,2020-04-28,0,0,179
Honolulu,2020-04-28,4,4,528
Kauai,2020-04-28,0,0,33
Maui,2020-04-28,1,1,535
Missing,2020-04-28,0,0,35
Hawaii,2020-04-29,3,3,76
Honolulu,2020-04-29,1,0,407
Kauai,2020-04-29,0,0,19
Maui,2020-04-29,1,1,191
Missing,2020-04-29,0,0,43
Hawaii,2020-04-30,0,0,239
Honolulu,2020-04-30,4,4,404
Kauai,2020-04-30,0,0,21
Maui,2020-04-30,0,0,166
Missing,2020-04-30,0,0,31
Hawaii,2020-05-01,0,0,126
Honolulu,2020-05-01,0,0,352
Kauai,2020-05-01,0,0,27
Maui,2020-05-01,0,0,76
Missing,2020-05-01,0,0,30
Hawaii,2020-05-02,1,1,124
Honolulu,2020-05-02,1,1,208
Kauai,2020-05-02,0,0,23
Maui,2020-05-02,1,1,124
Missing,2020-05-02,0,0,31
Hawaii,2020-05-03,1,1,95
Honolulu,2020-05-03,0,0,262
Kauai,2020-05-03,0,0,25
Maui,2020-05-03,1,0,85
Missing,2020-05-03,0,0,30
Hawaii,2020-05-04,0,0,80
Honolulu,2020-05-04,3,3,524
Kauai,2020-05-04,0,0,37
Maui,2020-05-04,1,0,187
Missing,2020-05-04,0,0,32
Hawaii,2020-05-05,1,0,103
Honolulu,2020-05-05,1,1,374
Kauai,2020-05-05,0,0,29
Maui,2020-05-05,1,1,60
Missing,2020-05-05,0,0,21
Hawaii,2020-05-06,0,0,58
Honolulu,2020-05-06,2,2,424
Kauai,2020-05-06,0,0,20
Maui,2020-05-06,0,0,135
Missing,2020-05-06,0,0,47
Hawaii,2020-05-07,0,0,199
Honolulu,2020-05-07,1,1,313
Kauai,2020-05-07,0,0,27
Maui,2020-05-07,0,0,102
Missing,2020-05-07,0,0,27
Hawaii,2020-05-08,0,0,103
Honolulu,2020-05-08,1,1,347
Kauai,2020-05-08,0,0,29
Maui,2020-05-08,2,2,58
Missing,2020-05-08,0,0,28
Hawaii,2020-05-09,0,0,179
Honolulu,2020-05-09,1,1,368
Kauai,2020-05-09,0,0,35
Maui,2020-05-09,1,0,72
Missing,2020-05-09,0,0,29
Hawaii,2020-05-10,1,0,13
Honolulu,2020-05-10,2,2,216
Kauai,2020-05-10,0,0,14
Maui,2020-05-10,0,0,19
Missing,2020-05-10,0,0,8
Hawaii,2020-05-11,0,0,79
Honolulu,2020-05-11,2,2,491
Kauai,2020-05-11,0,0,16
Maui,2020-05-11,0,0,39
Missing,2020-05-11,0,0,16
Hawaii,2020-05-12,0,0,97
Honolulu,2020-05-12,2,2,519
Kauai,2020-05-12,0,0,34
Maui,2020-05-12,0,0,65
Missing,2020-05-12,0,0,39
Hawaii,2020-05-13,1,1,161
Honolulu,2020-05-13,1,0,532
Kauai,2020-05-13,0,0,27
Maui,2020-05-13,0,0,48
Missing,2020-05-13,0,0,59
Hawaii,2020-05-14,0,0,172
Honolulu,2020-05-14,0,0,407
Kauai,2020-05-14,0,0,35
Maui,2020-05-14,0,0,93
Missing,2020-05-14,0,0,29
Hawaii,2020-05-15,0,0,164
Honolulu,2020-05-15,1,1,474
Kauai,2020-05-15,0,0,16
Maui,2020-05-15,0,0,64
Missing,2020-05-15,0,0,30
Hawaii,2020-05-16,2,2,152
Honolulu,2020-05-16,4,1,416
Kauai,2020-05-16,0,0,35
Maui,2020-05-16,0,0,77
Missing,2020-05-16,0,0,33
Hawaii,2020-05-17,0,0,51
Honolulu,2020-05-17,0,0,362
Kauai,2020-05-17,0,0,3
Maui,2020-05-17,0,0,49
Missing,2020-05-17,0,0,12
Hawaii,2020-05-18,1,1,106
Honolulu,2020-05-18,2,1,572
Kauai,2020-05-18,0,0,38
Maui,2020-05-18,0,0,77
Missing,2020-05-18,0,0,34
Hawaii,2020-05-19,0,0,197
Honolulu,2020-05-19,0,0,680
Kauai,2020-05-19,0,0,44
Maui,2020-05-19,0,0,72
Missing,2020-05-19,0,0,33
Hawaii,2020-05-20,3,3,160
Honolulu,2020-05-20,1,0,522
Kauai,2020-05-20,0,0,46
Maui,2020-05-20,1,1,136
Missing,2020-05-20,0,0,16
Hawaii,2020-05-21,0,0,177
Honolulu,2020-05-21,1,0,450
Kauai,2020-05-21,0,0,26
Maui,2020-05-21,2,0,63
Missing,2020-05-21,0,0,19
Hawaii,2020-05-22,0,0,185
Honolulu,2020-05-22,1,1,451
Kauai,2020-05-22,0,0,16
Maui,2020-05-22,1,0,145
Missing,2020-05-22,0,0,42
Hawaii,2020-05-23,0,0,186
Honolulu,2020-05-23,1,0,348
Kauai,2020-05-23,0,0,32
Maui,2020-05-23,0,0,97
Missing,2020-05-23,0,0,56
Hawaii,2020-05-24,0,0,39
Honolulu,2020-05-24,0,0,353
Kauai,2020-05-24,0,0,6
Maui,2020-05-24,0,0,30
Missing,2020-05-24,0,0,17
Hawaii,2020-05-25,0,0,78
Honolulu,2020-05-25,0,0,283
Kauai,2020-05-25,0,0,45
Maui,2020-05-25,0,0,35
Missing,2020-05-25,0,0,8
Hawaii,2020-05-26,0,0,43
Honolulu,2020-05-26,0,0,479
Kauai,2020-05-26,0,0,37
Maui,2020-05-26,1,0,39
Missing,2020-05-26,0,0,11
Hawaii,2020-05-27,0,0,109
Honolulu,2020-05-27,2,2,551
Kauai,2020-05-27,0,0,44
Maui,2020-05-27,0,0,149
Missing,2020-05-27,0,0,41
Hawaii,2020-05-28,0,0,146
Honolulu,2020-05-28,4,3,682
Kauai,2020-05-28,0,0,29
Maui,2020-05-28,0,0,90
Missing,2020-05-28,0,0,27
Hawaii,2020-05-29,0,0,134
Honolulu,2020-05-29,5,2,570
Kauai,2020-05-29,0,0,18
Maui,2020-05-29,0,0,62
Missing,2020-05-29,0,0,37
Hawaii,2020-05-30,0,0,143
Honolulu,2020-05-30,0,0,394
Kauai,2020-05-30,0,0,52
Maui,2020-05-30,0,0,112
Missing,2020-05-30,0,0,26
Hawaii,2020-05-31,0,0,30
Honolulu,2020-05-31,0,0,390
Kauai,2020-05-31,0,0,33
Maui,2020-05-31,0,0,60
Missing,2020-05-31,0,0,21
Hawaii,2020-06-01,0,0,128
Honolulu,2020-06-01,1,0,622
Kauai,2020-06-01,0,0,2
Maui,2020-06-01,0,0,44
Missing,2020-06-01,0,0,23
Hawaii,2020-06-02,0,0,582
Honolulu,2020-06-02,1,1,483
Kauai,2020-06-02,0,0,51
Maui,2020-06-02,0,0,139
Missing,2020-06-02,0,0,43
Hawaii,2020-06-03,0,0,890
Honolulu,2020-06-03,1,1,654
Kauai,2020-06-03,0,0,40
Maui,2020-06-03,0,0,99
Missing,2020-06-03,0,0,98
Hawaii,2020-06-04,1,0,377
Honolulu,2020-06-04,5,4,585
Kauai,2020-06-04,0,0,34
Maui,2020-06-04,0,0,99
Missing,2020-06-04,0,0,34
Hawaii,2020-06-05,0,0,275
Honolulu,2020-06-05,11,9,591
Kauai,2020-06-05,0,0,37
Maui,2020-06-05,0,0,88
Missing,2020-06-05,0,0,35
Hawaii,2020-06-06,0,0,215
Honolulu,2020-06-06,0,0,554
Kauai,2020-06-06,0,0,37
Maui,2020-06-06,0,0,107
Missing,2020-06-06,0,0,34
Hawaii,2020-06-07,0,0,59
Honolulu,2020-06-07,1,1,434
Kauai,2020-06-07,0,0,27
Maui,2020-06-07,0,0,65
Missing,2020-06-07,0,0,27
Hawaii,2020-06-08,0,0,24
Honolulu,2020-06-08,6,6,713
Kauai,2020-06-08,0,0,30
Maui,2020-06-08,0,0,107
Missing,2020-06-08,0,0,21
Hawaii,2020-06-09,0,0,255
Honolulu,2020-06-09,4,4,1054
Kauai,2020-06-09,0,0,33
Maui,2020-06-09,2,1,122
Missing,2020-06-09,0,0,41
Hawaii,2020-06-10,0,0,128
Honolulu,2020-06-10,8,6,1137
Kauai,2020-06-10,0,0,33
Maui,2020-06-10,0,0,116
Missing,2020-06-10,0,0,52
Hawaii,2020-06-11,0,0,189
Honolulu,2020-06-11,5,3,603
Kauai,2020-06-11,0,0,37
Maui,2020-06-11,1,0,78
Missing,2020-06-11,0,0,41
Hawaii,2020-06-12,0,0,134
Honolulu,2020-06-12,16,15,919
Kauai,2020-06-12,0,0,7
Maui,2020-06-12,0,0,66
Missing,2020-06-12,0,0,76
Hawaii,2020-06-13,1,1,240
Honolulu,2020-06-13,16,15,759
Kauai,2020-06-13,0,0,57
Maui,2020-06-13,0,0,99
Missing,2020-06-13,0,0,47
Hawaii,2020-06-14,0,0,47
Honolulu,2020-06-14,8,8,511
Kauai,2020-06-14,0,0,21
Maui,2020-06-14,0,0,64
Missing,2020-06-14,0,0,28
Hawaii,2020-06-15,0,0,72
Honolulu,2020-06-15,4,4,912
Kauai,2020-06-15,1,0,45
Maui,2020-06-15,0,0,126
Missing,2020-06-15,0,0,40
Hawaii,2020-06-16,1,1,411
Honolulu,2020-06-16,7,5,787
Kauai,2020-06-16,0,0,58
Maui,2020-06-16,2,0,146
Missing,2020-06-16,0,0,53
Hawaii,2020-06-17,0,0,192
Honolulu,2020-06-17,18,18,1438
Kauai,2020-06-17,0,0,41
Maui,2020-06-17,0,0,131
Missing,2020-06-17,0,0,84
Hawaii,2020-06-18,0,0,103
Honolulu,2020-06-18,25,25,1081
Kauai,2020-06-18,1,1,34
Maui,2020-06-18,1,1,92
Missing,2020-06-18,0,0,51
Hawaii,2020-06-19,0,0,270
Honolulu,2020-06-19,5,4,835
Kauai,2020-06-19,7,7,36
Maui,2020-06-19,2,2,76
Missing,2020-06-19,0,0,63
Hawaii,2020-06-20,2,2,130
Honolulu,2020-06-20,6,7,1052
Kauai,2020-06-20,0,0,73
Maui,2020-06-20,0,0,122
Missing,2020-06-20,0,0,57
Hawaii,2020-06-21,0,0,79
Honolulu,2020-06-21,3,3,486
Kauai,2020-06-21,0,0,27
Maui,2020-06-21,0,0,93
Missing,2020-06-21,0,0,21
Hawaii,2020-06-22,0,0,62
Honolulu,2020-06-22,2,3,965
Kauai,2020-06-22,1,0,133
Maui,2020-06-22,0,0,77
Missing,2020-06-22,0,0,35
Hawaii,2020-06-23,1,1,252
Honolulu,2020-06-23,10,10,1417
Kauai,2020-06-23,0,0,106
Maui,2020-06-23,0,0,176
Missing,2020-06-23,0,0,74
Hawaii,2020-06-24,0,1,100
Honolulu,2020-06-24,16,15,1162
Kauai,2020-06-24,3,3,104
Maui,2020-06-24,0,0,174
Missing,2020-06-24,0,0,32
Hawaii,2020-06-25,0,0,148
Honolulu,2020-06-25,15,14,1196
Kauai,2020-06-25,1,1,74
Maui,2020-06-25,0,0,156
Missing,2020-06-25,0,0,52
Hawaii,2020-06-26,0,0,150
Honolulu,2020-06-26,7,4,1107
Kauai,2020-06-26,1,1,34
Maui,2020-06-26,0,0,106
Missing,2020-06-26,0,0,55
Hawaii,2020-06-27,2,3,194
Honolulu,2020-06-27,22,20,1375
Kauai,2020-06-27,2,2,104
Maui,2020-06-27,0,0,158
Missing,2020-06-27,0,0,71
Hawaii,2020-06-28,0,0,69
Honolulu,2020-06-28,4,1,669
Kauai,2020-06-28,0,0,55
Maui,2020-06-28,0,0,64
Missing,2020-06-28,0,0,25
Hawaii,2020-06-29,0,1,57
Honolulu,2020-06-29,15,15,1142
Kauai,2020-06-29,1,1,42
Maui,2020-06-29,1,1,168
Missing,2020-06-29,0,0,45
Hawaii,2020-06-30,0,0,252
Honolulu,2020-06-30,7,7,1438
Kauai,2020-06-30,0,0,98
Maui,2020-06-30,2,2,165
Missing,2020-06-30,0,0,52
Hawaii,2020-07-01,3,3,184
Honolulu,2020-07-01,14,13,1247
Kauai,2020-07-01,0,0,63
Maui,2020-07-01,0,0,131
Missing,2020-07-01,0,0,68
Hawaii,2020-07-02,1,1,196
Honolulu,2020-07-02,28,28,1389
Kauai,2020-07-02,0,0,77
Maui,2020-07-02,2,2,106
Missing,2020-07-02,0,0,184
Hawaii,2020-07-03,2,2,261
Honolulu,2020-07-03,19,18,894
Kauai,2020-07-03,2,2,76
Maui,2020-07-03,1,1,118
Missing,2020-07-03,0,0,82
Hawaii,2020-07-04,0,0,95
Honolulu,2020-07-04,26,25,809
Kauai,2020-07-04,0,0,71
Maui,2020-07-04,0,0,116
Missing,2020-07-04,0,0,52
Hawaii,2020-07-05,1,1,46
Honolulu,2020-07-05,10,9,502
Kauai,2020-07-05,0,0,53
Maui,2020-07-05,0,0,47
Missing,2020-07-05,0,0,17
Hawaii,2020-07-06,3,1,68
Honolulu,2020-07-06,36,35,1218
Kauai,2020-07-06,2,2,39
Maui,2020-07-06,0,0,148
Missing,2020-07-06,0,0,63
Hawaii,2020-07-07,0,0,306
Honolulu,2020-07-07,19,18,1361
Kauai,2020-07-07,0,0,100
Maui,2020-07-07,3,2,194
Missing,2020-07-07,0,0,98
Hawaii,2020-07-08,0,0,192
Honolulu,2020-07-08,31,30,1656
Kauai,2020-07-08,1,1,102
Maui,2020-07-08,0,0,199
Missing,2020-07-08,0,0,92
Hawaii,2020-07-09,1,1,260
Honolulu,2020-07-09,29,26,1332
Kauai,2020-07-09,0,0,83
Maui,2020-07-09,2,1,152
Missing,2020-07-09,0,0,127
Hawaii,2020-07-10,2,2,258
Honolulu,2020-07-10,41,36,1488
Kauai,2020-07-10,0,0,62
Maui,2020-07-10,2,2,113
Missing,2020-07-10,0,0,81
Hawaii,2020-07-11,2,1,190
Honolulu,2020-07-11,17,15,1362
Kauai,2020-07-11,0,0,103
Maui,2020-07-11,1,1,165
Missing,2020-07-11,0,0,72
Hawaii,2020-07-12,1,0,92
Honolulu,2020-07-12,26,22,895
Kauai,2020-07-12,0,0,85
Maui,2020-07-12,1,1,80
Missing,2020-07-12,0,0,53
Hawaii,2020-07-13,2,2,61
Honolulu,2020-07-13,20,18,1428
Kauai,2020-07-13,0,0,8
Maui,2020-07-13,0,0,134
Missing,2020-07-13,0,0,104
Hawaii,2020-07-14,1,2,404
Honolulu,2020-07-14,23,25,1938
Kauai,2020-07-14,0,1,113
Maui,2020-07-14,0,0,223
Missing,2020-07-14,0,0,149
Hawaii,2020-07-15,1,1,295
Honolulu,2020-07-15,23,19,1669
Kauai,2020-07-15,0,0,92
Maui,2020-07-15,0,0,231
Missing,2020-07-15,0,0,151
Hawaii,2020-07-16,4,3,358
Honolulu,2020-07-16,16,14,1719
Kauai,2020-07-16,0,0,59
Maui,2020-07-16,0,0,161
Missing,2020-07-16,0,0,116
Hawaii,2020-07-17,1,0,691
Honolulu,2020-07-17,22,21,1343
Kauai,2020-07-17,0,0,51
Maui,2020-07-17,0,0,145
Missing,2020-07-17,0,0,140
Hawaii,2020-07-18,1,0,379
Honolulu,2020-07-18,24,24,1332
Kauai,2020-07-18,0,0,84
Maui,2020-07-18,0,0,131
Missing,2020-07-18,0,0,62
Hawaii,2020-07-19,0,0,139
Honolulu,2020-07-19,13,11,922
Kauai,2020-07-19,0,0,71
Maui,2020-07-19,1,0,88
Missing,2020-07-19,0,0,28
Hawaii,2020-07-20,1,1,138
Honolulu,2020-07-20,33,25,1246
Kauai,2020-07-20,0,0,4
Maui,2020-07-20,1,1,131
Missing,2020-07-20,0,0,153
Hawaii,2020-07-21,1,1,694
Honolulu,2020-07-21,24,16,1371
Kauai,2020-07-21,0,0,102
Maui,2020-07-21,2,1,318
Missing,2020-07-21,0,0,134
Hawaii,2020-07-22,1,1,254
Honolulu,2020-07-22,42,42,1667
Kauai,2020-07-22,0,0,97
Maui,2020-07-22,2,2,222
Missing,2020-07-22,0,0,175
Hawaii,2020-07-23,0,0,267
Honolulu,2020-07-23,56,56,1357
Kauai,2020-07-23,0,0,38
Maui,2020-07-23,2,1,194
Missing,2020-07-23,0,0,93
Hawaii,2020-07-24,0,0,255
Honolulu,2020-07-24,71,67,1674
Kauai,2020-07-24,1,0,69
Maui,2020-07-24,3,3,137
Missing,2020-07-24,0,0,127
Hawaii,2020-07-25,0,0,743
Honolulu,2020-07-25,54,50,1311
Kauai,2020-07-25,1,1,98
Maui,2020-07-25,7,7,268
Missing,2020-07-25,0,0,128
Hawaii,2020-07-26,0,0,73
Honolulu,2020-07-26,45,45,958
Kauai,2020-07-26,0,0,57
Maui,2020-07-26,2,1,98
Missing,2020-07-26,0,0,57
Hawaii,2020-07-27,0,0,73
Honolulu,2020-07-27,43,38,850
Kauai,2020-07-27,0,0,2
Maui,2020-07-27,1,1,84
Missing,2020-07-27,0,0,34
Hawaii,2020-07-28,0,0,346
Honolulu,2020-07-28,100,95,1643
Kauai,2020-07-28,2,2,142
Maui,2020-07-28,9,9,474
Missing,2020-07-28,0,0,147
Hawaii,2020-07-29,0,0,187
Honolulu,2020-07-29,119,112,1812
Kauai,2020-07-29,0,0,69
Maui,2020-07-29,4,4,327
Missing,2020-07-29,0,0,124
Hawaii,2020-07-30,0,0,153
Honolulu,2020-07-30,128,123,1936
Kauai,2020-07-30,0,0,88
Maui,2020-07-30,3,2,402
Missing,2020-07-30,0,0,122
Hawaii,2020-07-31,0,1,161
Honolulu,2020-07-31,102,90,1906
